id,tipe,model,pertanyaan,jawaban_benar,jawaban_sistem,rougeL,is_grounded,grounding_score_faithfulness
1,in_domain,groq,Jelaskan hukum bacaan lafaz إِنَّا pada ayat 40 An-Naba!,"Lafaz إِنَّا (innaa) pada ayat 40 surah An-Naba' termasuk hukum Ghunnah, kategori Ghunnah. Huruf nun bertasydid dibaca dengan dengung 2 harakat. (Sumber: Kitab Hidayatus Sibyan)","Hukum bacaan lafaz إِنَّا (innaa) pada ayat 40 Surah An-Naba adalah Ghunnah. Penjelasannya, huruf nun bertasydid dibaca dengan dengung selama 2 harakat.

Sumber: Kitab Hidayatus Sibyan (Konteks 1)",0.7925,True,0.757
2,in_domain,groq,Bagaimana cara membaca lafaz عَنِ ٱلنَّبَإِ pada ayat ke-2?,"Lafaz عَنِ ٱلنَّبَإِ (anin an-naba'i) pada ayat 2 surah An-Naba' termasuk hukum Ghunnah, kategori Ghunnah. Berasal dari 'nin + na'. Nun tasydid, dibaca lebur dengan dengung (ghunnah) selama 2 harakat. (Sumber: Kitab Hidayatus Sibyan)","Cara membaca lafaz عَنِ ٱلنَّبَإِ pada ayat ke-2 adalah dengan membaca nun tasydid lebur dengan dengung (ghunnah) selama 2 harakat, karena berasal dari 'nin + na'. 
Sumber: Kitab Hidayatus Sibyan.",0.5484,True,0.857
3,in_domain,groq,Sebutkan dan jelaskan hukum tajwid dari kata عَمَّ di ayat 1!,"Lafaz عَمَّ ('amma) pada ayat 1 surah An-Naba' termasuk hukum Ghunnah, kategori Ghunnah. Berasal dari 'an + ma'. Mim tasydid, dibaca lebur dengan dengung (ghunnah) selama 2 harakat. (Sumber: Kitab Hidayatus Sibyan)","Hukum tajwid dari kata عَمَّ di ayat 1 adalah Ghunnah. Penjelasannya, kata عَمَّ berasal dari 'an + ma', dimana mim tasydid dibaca lebur dengan dengung (ghunnah) selama 2 harakat.

Sumber: Kitab Hidayatus Sibyan",0.6885,True,0.737
4,in_domain,groq,Mengapa lafaz جَنَّاتٍ pada ayat 16 dibaca demikian? Jelaskan hukumnya!,"Lafaz جَنَّاتٍ (jannātin) pada ayat 16 surah An-Naba' termasuk hukum Ghunnah, kategori Ghunnah. Huruf nun bertasydid, dibaca dengan dengung selama 2 harakat. (Sumber: Kitab Hidayatus Sibyan)","Lafaz جَنَّاتٍ pada ayat 16 dibaca demikian karena hukum Ghunnah. Hukum ini berlaku ketika huruf nun bertasydid, sehingga dibaca dengan dengung selama 2 harakat.

Sumber: Kitab Hidayatus Sibyan",0.7037,True,0.712
5,in_domain,groq,Apa hukum tajwid pada lafaz إِنَّ di ayat 31 surah An-Naba?,"Lafaz إِنَّ (inna) pada ayat 31 surah An-Naba' termasuk hukum Ghunnah, kategori Ghunnah. Huruf nun bertasydid, dibaca dengung 2 harakat. (Sumber: Kitab Hidayatus Sibyan)","Hukum tajwid pada lafaz إِنَّ (inna) di ayat 31 surah An-Naba adalah Ghunnah, yaitu huruf nun bertasydid yang dibaca dengung selama 2 harakat. 
Sumber: Kitab Hidayatus Sibyan.",0.7451,True,0.649
6,in_domain,groq,Jelaskan hukum bacaan lafaz يَتَسَاءَلُونَ pada ayat 1 An-Naba!,"Lafaz يَتَسَاءَلُونَ (yatasaa'aluun) pada ayat 1 surah An-Naba' termasuk hukum Mad Wajib Muttashil, kategori Mad Far'i. Huruf mad thabi'i bertemu hamzah dalam satu kata, dibaca panjang 4 atau 5 harakat. (Sumber: Kitab Hidayatus Sibyan)","Lafaz يَتَسَاءَلُونَ pada ayat 1 An-Naba memiliki dua hukum bacaan, yaitu:

1. Mad Wajib Muttashil: Huruf mad thabi'i bertemu hamzah dalam satu kata, dibaca panjang 4 atau 5 harakat.
2. Mad Arid Lissukun: Huruf wawu mad di akhir ayat diwaqafkan, dibaca panjang 2, 4, atau 6 harakat.

Sumber: Kitab Hidayatus Sibyan",0.6517,True,0.786
7,in_domain,groq,Bagaimana cara membaca lafaz أَزْوَاجًا pada ayat ke-8?,"Lafaz أَزْوَاجًا (azwaajaa) pada ayat 8 surah An-Naba' termasuk hukum Mad Arid Lissukun, kategori Mad Far'i. Huruf mad di akhir ayat yang diwaqafkan, dibaca panjang 2, 4, atau 6 harakat. (Sumber: Kitab Hidayatus Sibyan)","Lafaz أَزْوَاجًا pada ayat ke-8 dibaca dengan hukum Mad Arid Lissukun, yaitu huruf mad di akhir ayat yang diwaqafkan, dibaca panjang 2, 4, atau 6 harakat.

Sumber: Kitab Hidayatus Sibyan",0.8,True,0.843
8,in_domain,groq,Sebutkan dan jelaskan hukum tajwid dari kata وَكَوَاعِبَ أَتْرَابًا di ayat 33!,"Lafaz وَكَوَاعِبَ أَتْرَابًا (wa kawaa'iba atraabaa) pada ayat 33 surah An-Naba' termasuk hukum Mad Arid Lissukun, kategori Mad Far'i. Huruf mad di akhir ayat yang diwaqafkan, dibaca panjang 2, 4, atau 6 harakat. (Sumber: Kitab Hidayatus Sibyan)","Hukum tajwid dari kata وَكَوَاعِبَ أَتْرَابًا di ayat 33 adalah Mad Arid Lissukun, yang termasuk dalam kategori Mad Far'i. Penjelasannya adalah bahwa huruf mad di akhir ayat yang diwaqafkan, dibaca panjang 2, 4, atau 6 harakat.

Sumber: Kitab Hidayatus Sibyan",0.7013,True,0.715
9,in_domain,groq,Mengapa lafaz أَوْتَادًا pada ayat 7 dibaca demikian? Jelaskan hukumnya!,"Lafaz أَوْتَادًا (awtaadaa) pada ayat 7 surah An-Naba' termasuk hukum Mad Arid Lissukun, kategori Mad Far'i. Huruf mad di akhir ayat yang diwaqafkan, dibaca panjang 2, 4, atau 6 harakat. (Sumber: Kitab Hidayatus Sibyan)","Lafaz أَوْتَادًا pada ayat 7 dibaca demikian karena hukum Mad Arid Lissukun. Hukum ini berlaku ketika huruf mad (alif atau wawu) berada di akhir ayat yang diwaqafkan. Dalam hal ini, huruf mad dibaca panjang selama 2, 4, atau 6 harakat.

Sumber: Kitab Hidayatus Sibyan",0.6667,True,0.69
10,in_domain,groq,Apa hukum tajwid pada lafaz عَذَابًا di ayat 30 surah An-Naba?,"Lafaz عَذَابًا ('adzaabaa) pada ayat 30 surah An-Naba' termasuk hukum Mad Arid Lissukun, kategori Mad Far'i. Huruf mad di akhir ayat yang diwaqafkan, dibaca panjang 2, 4, atau 6 harakat. (Sumber: Kitab Hidayatus Sibyan)","Hukum tajwid pada lafaz عَذَابًا di ayat 30 surah An-Naba adalah Mad Arid Lissukun. Lafaz ini termasuk dalam kategori Mad Far'i, yaitu huruf mad di akhir ayat yang diwaqafkan, dibaca panjang 2, 4, atau 6 harakat.

Sumber: Kitab Hidayatus Sibyan (Konteks 3)",0.7949,True,0.681
